[2025-07-24T03:37:20.195+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.load_all_to_mongo manual__2025-07-24T03:36:52.564661+00:00 [queued]>
[2025-07-24T03:37:20.226+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.load_all_to_mongo manual__2025-07-24T03:36:52.564661+00:00 [queued]>
[2025-07-24T03:37:20.229+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-07-24T03:37:20.261+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_all_to_mongo> on 2025-07-24 03:36:52.564661+00:00
[2025-07-24T03:37:20.276+0000] {standard_task_runner.py:60} INFO - Started process 2628 to run task
[2025-07-24T03:37:20.281+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'TechAndUrbanGrowth', 'load_all_to_mongo', 'manual__2025-07-24T03:36:52.564661+00:00', '--job-id', '155', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmppp381ft8']
[2025-07-24T03:37:20.285+0000] {standard_task_runner.py:88} INFO - Job 155: Subtask load_all_to_mongo
[2025-07-24T03:37:20.381+0000] {task_command.py:423} INFO - Running <TaskInstance: TechAndUrbanGrowth.load_all_to_mongo manual__2025-07-24T03:36:52.564661+00:00 [running]> on host 4c8899e5e1ad
[2025-07-24T03:37:20.517+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='TechAndUrbanGrowth' AIRFLOW_CTX_TASK_ID='load_all_to_mongo' AIRFLOW_CTX_EXECUTION_DATE='2025-07-24T03:36:52.564661+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-24T03:36:52.564661+00:00'
[2025-07-24T03:37:20.520+0000] {load_mongo.py:13} INFO - 📦 Conectando a MongoDB...
[2025-07-24T03:37:20.678+0000] {load_mongo.py:21} INFO - Datos urbanización recibidos: tipo=<class 'list'>, cantidad=2275
[2025-07-24T03:37:20.680+0000] {load_mongo.py:22} INFO - Datos calidad aire recibidos: tipo=<class 'list'>, cantidad=35
[2025-07-24T03:37:20.681+0000] {load_mongo.py:23} INFO - Datos población recibidos: tipo=<class 'list'>, cantidad=2275
[2025-07-24T03:37:20.684+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2024, 'urban_population_percent': 92.579, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770484'}: 'year'
[2025-07-24T03:37:20.698+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2013, 'urban_population_percent': 91.249, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770565'}: 'year'
[2025-07-24T03:37:20.700+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2012, 'urban_population_percent': 91.121, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770569'}: 'year'
[2025-07-24T03:37:20.701+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2011, 'urban_population_percent': 90.99, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770572'}: 'year'
[2025-07-24T03:37:20.703+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2010, 'urban_population_percent': 90.849, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770575'}: 'year'
[2025-07-24T03:37:20.705+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2009, 'urban_population_percent': 90.691, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770579'}: 'year'
[2025-07-24T03:37:20.706+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2008, 'urban_population_percent': 90.53, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770583'}: 'year'
[2025-07-24T03:37:20.708+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2007, 'urban_population_percent': 90.366, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770586'}: 'year'
[2025-07-24T03:37:20.709+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2006, 'urban_population_percent': 90.2, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770589'}: 'year'
[2025-07-24T03:37:20.711+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2005, 'urban_population_percent': 90.031, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770592'}: 'year'
[2025-07-24T03:37:20.712+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2004, 'urban_population_percent': 89.86, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770596'}: 'year'
[2025-07-24T03:37:20.713+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2003, 'urban_population_percent': 89.686, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770599'}: 'year'
[2025-07-24T03:37:20.715+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2002, 'urban_population_percent': 89.51, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770602'}: 'year'
[2025-07-24T03:37:20.717+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2001, 'urban_population_percent': 89.329, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770606'}: 'year'
[2025-07-24T03:37:20.718+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2000, 'urban_population_percent': 89.142, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770613'}: 'year'
[2025-07-24T03:37:20.719+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1999, 'urban_population_percent': 88.952, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770616'}: 'year'
[2025-07-24T03:37:20.720+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1998, 'urban_population_percent': 88.759, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770620'}: 'year'
[2025-07-24T03:37:20.721+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1997, 'urban_population_percent': 88.564, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770624'}: 'year'
[2025-07-24T03:37:20.722+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1996, 'urban_population_percent': 88.366, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770627'}: 'year'
[2025-07-24T03:37:20.723+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1995, 'urban_population_percent': 88.164, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770630'}: 'year'
[2025-07-24T03:37:20.724+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1994, 'urban_population_percent': 87.96, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770633'}: 'year'
[2025-07-24T03:37:20.725+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1993, 'urban_population_percent': 87.752, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770640'}: 'year'
[2025-07-24T03:37:20.726+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1992, 'urban_population_percent': 87.542, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770643'}: 'year'
[2025-07-24T03:37:20.727+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1991, 'urban_population_percent': 87.328, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770646'}: 'year'
[2025-07-24T03:37:20.728+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1990, 'urban_population_percent': 86.984, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770650'}: 'year'
[2025-07-24T03:37:20.729+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1989, 'urban_population_percent': 86.613, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770653'}: 'year'
[2025-07-24T03:37:20.730+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1988, 'urban_population_percent': 86.233, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770656'}: 'year'
[2025-07-24T03:37:20.732+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1987, 'urban_population_percent': 85.843, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770662'}: 'year'
[2025-07-24T03:37:20.734+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1986, 'urban_population_percent': 85.445, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770666'}: 'year'
[2025-07-24T03:37:20.736+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1985, 'urban_population_percent': 85.038, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770668'}: 'year'
[2025-07-24T03:37:20.737+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1984, 'urban_population_percent': 84.621, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770671'}: 'year'
[2025-07-24T03:37:20.738+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1983, 'urban_population_percent': 84.194, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770675'}: 'year'
[2025-07-24T03:37:20.740+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1982, 'urban_population_percent': 83.759, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770680'}: 'year'
[2025-07-24T03:37:20.741+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1981, 'urban_population_percent': 83.313, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770684'}: 'year'
[2025-07-24T03:37:20.743+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1980, 'urban_population_percent': 82.887, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770687'}: 'year'
[2025-07-24T03:37:20.744+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1979, 'urban_population_percent': 82.516, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770690'}: 'year'
[2025-07-24T03:37:20.745+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1978, 'urban_population_percent': 82.139, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770693'}: 'year'
[2025-07-24T03:37:20.748+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1977, 'urban_population_percent': 81.755, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770697'}: 'year'
[2025-07-24T03:37:20.750+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1976, 'urban_population_percent': 81.366, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770700'}: 'year'
[2025-07-24T03:37:20.751+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1975, 'urban_population_percent': 80.969, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770702'}: 'year'
[2025-07-24T03:37:20.753+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1974, 'urban_population_percent': 80.567, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770708'}: 'year'
[2025-07-24T03:37:20.754+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1973, 'urban_population_percent': 80.158, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770716'}: 'year'
[2025-07-24T03:37:20.755+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1972, 'urban_population_percent': 79.743, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770718'}: 'year'
[2025-07-24T03:37:20.757+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1971, 'urban_population_percent': 79.321, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770721'}: 'year'
[2025-07-24T03:37:20.758+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1970, 'urban_population_percent': 78.88, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770724'}: 'year'
[2025-07-24T03:37:20.760+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1969, 'urban_population_percent': 78.394, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770727'}: 'year'
[2025-07-24T03:37:20.762+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1968, 'urban_population_percent': 77.901, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770730'}: 'year'
[2025-07-24T03:37:20.765+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1967, 'urban_population_percent': 77.398, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770733'}: 'year'
[2025-07-24T03:37:20.767+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1966, 'urban_population_percent': 76.888, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770736'}: 'year'
[2025-07-24T03:37:20.769+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1965, 'urban_population_percent': 76.369, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770739'}: 'year'
[2025-07-24T03:37:20.771+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1964, 'urban_population_percent': 75.844, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770742'}: 'year'
[2025-07-24T03:37:20.772+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1963, 'urban_population_percent': 75.309, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770745'}: 'year'
[2025-07-24T03:37:20.774+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1962, 'urban_population_percent': 74.767, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770748'}: 'year'
[2025-07-24T03:37:20.775+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1961, 'urban_population_percent': 74.217, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770754'}: 'year'
[2025-07-24T03:37:20.778+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 1960, 'urban_population_percent': 73.611, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770757'}: 'year'
[2025-07-24T03:37:20.779+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2024, 'urban_population_percent': 24.338, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770760'}: 'year'
[2025-07-24T03:37:20.781+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2023, 'urban_population_percent': 24.332, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770763'}: 'year'
[2025-07-24T03:37:20.782+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2022, 'urban_population_percent': 24.346, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770766'}: 'year'
[2025-07-24T03:37:20.784+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2021, 'urban_population_percent': 24.38, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770769'}: 'year'
[2025-07-24T03:37:20.786+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2020, 'urban_population_percent': 24.433, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770772'}: 'year'
[2025-07-24T03:37:20.788+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2019, 'urban_population_percent': 24.506, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770775'}: 'year'
[2025-07-24T03:37:20.789+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2018, 'urban_population_percent': 24.599, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770778'}: 'year'
[2025-07-24T03:37:20.790+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2017, 'urban_population_percent': 24.713, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770781'}: 'year'
[2025-07-24T03:37:20.791+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2016, 'urban_population_percent': 24.846, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770785'}: 'year'
[2025-07-24T03:37:20.793+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2015, 'urban_population_percent': 25, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770788'}: 'year'
[2025-07-24T03:37:20.795+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2014, 'urban_population_percent': 25.175, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770791'}: 'year'
[2025-07-24T03:37:20.796+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2013, 'urban_population_percent': 25.35, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770797'}: 'year'
[2025-07-24T03:37:20.798+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2012, 'urban_population_percent': 25.526, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770800'}: 'year'
[2025-07-24T03:37:20.799+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2011, 'urban_population_percent': 25.703, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770803'}: 'year'
[2025-07-24T03:37:20.803+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2010, 'urban_population_percent': 26.238, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770806'}: 'year'
[2025-07-24T03:37:20.805+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2009, 'urban_population_percent': 26.818, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770809'}: 'year'
[2025-07-24T03:37:20.806+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2008, 'urban_population_percent': 27.405, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770812'}: 'year'
[2025-07-24T03:37:20.807+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2007, 'urban_population_percent': 28.002, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770815'}: 'year'
[2025-07-24T03:37:20.808+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2006, 'urban_population_percent': 28.606, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770817'}: 'year'
[2025-07-24T03:37:20.809+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Antigua and Barbuda', 'country_code': 'AG', 'date': 2005, 'urban_population_percent': 29.218, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770820'}: 'year'
